,tip,smoker,day
109,4.0,Yes,Sat
110,3.0,No,Sat
111,1.0,No,Sat
112,4.0,No,Sun
113,2.55,No,Sun
114,4.0,No,Sun
115,3.5,No,Sun
116,5.07,No,Sun
117,1.5,No,Thur
118,1.8,No,Thur
119,2.92,No,Thur
120,2.31,No,Thur
121,1.68,No,Thur
122,2.5,No,Thur
123,2.0,No,Thur
124,2.52,No,Thur
125,4.2,No,Thur
126,1.48,No,Thur
127,2.0,No,Thur
128,2.0,No,Thur
129,2.18,No,Thur
130,1.5,No,Thur
131,2.83,No,Thur
132,1.5,No,Thur
133,2.0,No,Thur
134,3.25,No,Thur
135,1.25,No,Thur
136,2.0,No,Thur
137,2.0,No,Thur
138,2.0,Yes,Thur
139,2.75,No,Thur
140,3.5,No,Thur
141,6.7,No,Thur
142,5.0,No,Thur
143,5.0,No,Thur
144,2.3,No,Thur
145,1.5,No,Thur
146,1.36,No,Thur
147,1.63,No,Thur
148,1.73,No,Thur
149,2.0,No,Thur
150,2.5,No,Sun
151,2.0,No,Sun
152,2.74,No,Sun
153,2.0,No,Sun
154,2.0,No,Sun
155,5.14,No,Sun
156,5.0,No,Sun
157,3.75,No,Sun
158,2.61,No,Sun
159,2.0,No,Sun
160,3.5,No,Sun
161,2.5,No,Sun
162,2.0,No,Sun
163,2.0,No,Sun
164,3.0,Yes,Sun
165,3.48,No,Sun
166,2.24,No,Sun
167,4.5,No,Sun
168,1.61,Yes,Sat
169,2.0,Yes,Sat
170,10.0,Yes,Sat
171,3.16,Yes,Sat
172,5.15,Yes,Sun
173,3.18,Yes,Sun
174,4.0,Yes,Sun
175,3.11,Yes,Sun
176,2.0,Yes,Sun
177,2.0,Yes,Sun
178,4.0,Yes,Sun
179,3.55,Yes,Sun
180,3.68,Yes,Sun
181,5.65,Yes,Sun
182,3.5,Yes,Sun
183,6.5,Yes,Sun
184,3.0,Yes,Sun
185,5.0,No,Sun
186,3.5,Yes,Sun
187,2.0,Yes,Sun
188,3.5,Yes,Sun
189,4.0,Yes,Sun
190,1.5,Yes,Sun
191,4.19,Yes,Thur
192,2.56,Yes,Thur
193,2.02,Yes,Thur
194,4.0,Yes,Thur
195,1.44,No,Thur
196,2.0,Yes,Thur
197,5.0,Yes,Thur
198,2.0,Yes,Thur
199,2.0,Yes,Thur
200,4.0,Yes,Thur
201,2.01,Yes,Thur
202,2.0,Yes,Thur
203,2.5,Yes,Thur
204,4.0,Yes,Thur
205,3.23,Yes,Thur
206,3.41,Yes,Sat
207,3.0,Yes,Sat
208,2.03,Yes,Sat
209,2.23,Yes,Sat
210,2.0,Yes,Sat
211,5.16,Yes,Sat
212,9.0,No,Sat
213,2.5,Yes,Sat
214,6.5,Yes,Sat
215,1.1,Yes,Sat
216,3.0,Yes,Sat
217,1.5,Yes,Sat
218,1.44,Yes,Sat
219,3.09,Yes,Sat
220,2.2,Yes,Fri
221,3.48,Yes,Fri
222,1.92,Yes,Fri
223,3.0,No,Fri
224,1.58,Yes,Fri
225,2.5,Yes,Fri
226,2.0,Yes,Fri
227,3.0,No,Sat
228,2.72,No,Sat
229,2.88,Yes,Sat
230,2.0,Yes,Sat
231,3.0,Yes,Sat
232,3.39,No,Sat
233,1.47,No,Sat
234,3.0,Yes,Sat
235,1.25,No,Sat
236,1.0,Yes,Sat
237,1.17,Yes,Sat
238,4.67,No,Sat
239,5.92,No,Sat
240,2.0,Yes,Sat
241,2.0,Yes,Sat
242,1.75,No,Sat
243,3.0,No,Thur
